"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.14,0.62,0.7985,0.7155,0.399,0.3545,0.3995,0.361
0.14,0.64,0.838,0.6605,0.421,0.325,0.417,0.3355
0.14,0.66,0.8255,0.695,0.402,0.341,0.4235,0.354
0.14,0.68,0.822,0.706,0.417,0.3455,0.405,0.3605
0.14,0.7,0.8005,0.716,0.4,0.36,0.4005,0.356
0.14,0.72,0.8225,0.7205,0.4165,0.358,0.406,0.3625
0.14,0.74,0.817,0.723,0.4145,0.355,0.4025,0.368
0.14,0.76,0.8355,0.714,0.418,0.356,0.4175,0.358
0.14,0.78,0.829,0.7175,0.4015,0.3645,0.4275,0.353
0.14,0.8,0.837,0.7075,0.4195,0.353,0.4175,0.3545
0.14,0.82,0.82,0.7035,0.414,0.354,0.406,0.3495
0.14,0.84,0.8275,0.708,0.41,0.3575,0.4175,0.3505
0.14,0.86,0.8305,0.708,0.4255,0.344,0.405,0.364
0.14,0.88,0.824,0.7115,0.419,0.3575,0.405,0.354
0.14,0.9,0.8405,0.73,0.4215,0.3615,0.419,0.3685
0.14,0.92,0.816,0.7095,0.416,0.351,0.4,0.3585
0.14,0.94,0.8385,0.7005,0.413,0.355,0.4255,0.3455
0.14,0.96,0.8365,0.7005,0.4215,0.345,0.415,0.3555
0.14,0.98,0.8245,0.702,0.4125,0.353,0.412,0.349
0.14,1,0.8295,0.7225,0.416,0.3585,0.4135,0.364
0.16,0.02,0.4395,0.148,0.27,0.0665,0.1695,0.0815
0.16,0.04,0.532,0.252,0.302,0.123,0.23,0.129
0.16,0.06,0.564,0.34,0.311,0.1695,0.253,0.1705
0.16,0.08,0.601,0.3585,0.322,0.1785,0.279,0.18
0.16,0.1,0.605,0.43,0.3245,0.2085,0.2805,0.2215
0.16,0.12,0.6855,0.4555,0.366,0.22,0.3195,0.2355
0.16,0.14,0.677,0.4995,0.3585,0.243,0.3185,0.2565
0.16,0.16,0.7095,0.5065,0.3685,0.2395,0.341,0.267
0.16,0.18,0.7485,0.477,0.38,0.249,0.3685,0.228
0.16,0.2,0.715,0.6095,0.365,0.2975,0.35,0.312
0.16,0.22,0.7535,0.579,0.3795,0.292,0.374,0.287
0.16,0.24,0.701,0.551,0.3565,0.2785,0.3445,0.2725
0.16,0.26,0.761,0.609,0.3925,0.3055,0.3685,0.3035
0.16,0.28,0.7515,0.568,0.3955,0.287,0.356,0.281
0.16,0.3,0.7705,0.594,0.401,0.2935,0.3695,0.3005
0.16,0.32,0.7725,0.684,0.3785,0.3435,0.394,0.3405
0.16,0.34,0.74,0.6765,0.38,0.3435,0.36,0.333
0.16,0.36,0.8115,0.6305,0.408,0.3105,0.4035,0.32
0.16,0.38,0.773,0.6765,0.397,0.342,0.376,0.3345
0.16,0.4,0.7615,0.65,0.3895,0.3195,0.372,0.3305
0.16,0.42,0.803,0.6605,0.4055,0.325,0.3975,0.3355
0.16,0.44,0.812,0.6115,0.411,0.299,0.401,0.3125
0.16,0.46,0.764,0.6895,0.3825,0.341,0.3815,0.3485
0.16,0.48,0.7855,0.656,0.404,0.3255,0.3815,0.3305
0.16,0.5,0.8055,0.669,0.395,0.347,0.4105,0.322
0.16,0.52,0.841,0.66,0.422,0.3295,0.419,0.3305
0.16,0.54,0.817,0.658,0.4115,0.3355,0.4055,0.3225
0.16,0.56,0.8095,0.6835,0.4115,0.355,0.398,0.3285
0.16,0.58,0.832,0.689,0.409,0.3375,0.423,0.3515
0.16,0.6,0.7825,0.7345,0.3975,0.3695,0.385,0.365
0.16,0.62,0.833,0.699,0.414,0.3465,0.419,0.3525
0.16,0.64,0.809,0.6825,0.4035,0.349,0.4055,0.3335
0.16,0.66,0.816,0.7015,0.4115,0.352,0.4045,0.3495
0.16,0.68,0.8185,0.723,0.408,0.3605,0.4105,0.3625
