"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.16,0.69,0.686,0.484,0.117,0.08,0.569,0.404
0.16,0.7,0.692,0.478,0.11,0.077,0.582,0.401
0.16,0.71,0.68,0.464,0.114,0.083,0.566,0.381
0.16,0.72,0.646,0.472,0.114,0.079,0.532,0.393
0.16,0.73,0.663,0.491,0.109,0.078,0.554,0.413
0.16,0.74,0.656,0.479,0.113,0.081,0.543,0.398
0.16,0.75,0.666,0.483,0.11,0.077,0.556,0.406
0.16,0.76,0.619,0.5,0.106,0.075,0.513,0.425
0.16,0.77,0.636,0.496,0.111,0.087,0.525,0.409
0.16,0.78,0.654,0.469,0.116,0.081,0.538,0.388
0.16,0.79,0.679,0.479,0.114,0.078,0.565,0.401
0.16,0.8,0.666,0.498,0.111,0.078,0.555,0.42
0.16,0.81,0.647,0.486,0.103,0.078,0.544,0.408
0.16,0.82,0.672,0.488,0.11,0.077,0.562,0.411
0.16,0.83,0.671,0.469,0.107,0.076,0.564,0.393
0.16,0.84,0.67,0.55,0.122,0.088,0.548,0.462
0.16,0.85,0.646,0.479,0.113,0.071,0.533,0.408
0.16,0.86,0.66,0.486,0.11,0.074,0.55,0.412
0.16,0.87,0.656,0.487,0.112,0.071,0.544,0.416
0.16,0.88,0.648,0.483,0.108,0.075,0.54,0.408
0.16,0.89,0.656,0.499,0.117,0.082,0.539,0.417
0.16,0.9,0.616,0.457,0.11,0.062,0.506,0.395
0.16,0.91,0.631,0.493,0.109,0.072,0.522,0.421
0.16,0.92,0.635,0.482,0.115,0.073,0.52,0.409
0.16,0.93,0.651,0.476,0.116,0.086,0.535,0.39
0.16,0.94,0.662,0.505,0.121,0.078,0.541,0.427
0.16,0.95,0.622,0.475,0.121,0.073,0.501,0.402
0.16,0.96,0.632,0.5,0.118,0.077,0.514,0.423
0.16,0.97,0.659,0.49,0.114,0.074,0.545,0.416
0.16,0.98,0.646,0.493,0.122,0.079,0.524,0.414
0.16,0.99,0.614,0.5,0.109,0.081,0.505,0.419
0.18,0.5,0.691,0.487,0.121,0.087,0.57,0.4
0.18,0.51,0.651,0.457,0.114,0.083,0.537,0.374
0.18,0.52,0.711,0.516,0.123,0.088,0.588,0.428
0.18,0.53,0.668,0.462,0.111,0.079,0.557,0.383
0.18,0.54,0.669,0.491,0.127,0.085,0.542,0.406
0.18,0.55,0.665,0.466,0.111,0.071,0.554,0.395
0.18,0.56,0.685,0.475,0.125,0.075,0.56,0.4
0.18,0.57,0.676,0.485,0.126,0.09,0.55,0.395
0.18,0.58,0.691,0.528,0.119,0.091,0.572,0.437
0.18,0.59,0.64,0.498,0.13,0.096,0.51,0.402
0.18,0.6,0.664,0.485,0.112,0.101,0.552,0.384
0.18,0.61,0.671,0.485,0.124,0.089,0.547,0.396
0.18,0.62,0.654,0.462,0.111,0.082,0.543,0.38
0.18,0.63,0.679,0.496,0.119,0.091,0.56,0.405
0.18,0.64,0.721,0.479,0.14,0.087,0.581,0.392
0.18,0.65,0.67,0.473,0.13,0.078,0.54,0.395
0.18,0.66,0.616,0.496,0.115,0.082,0.501,0.414
0.18,0.67,0.674,0.481,0.125,0.087,0.549,0.394
0.18,0.68,0.684,0.507,0.132,0.08,0.552,0.427
0.18,0.69,0.664,0.476,0.132,0.085,0.532,0.391
0.18,0.7,0.643,0.462,0.124,0.08,0.519,0.382
0.18,0.71,0.666,0.456,0.126,0.08,0.54,0.376
0.18,0.72,0.634,0.445,0.124,0.086,0.51,0.359
0.18,0.73,0.656,0.479,0.115,0.084,0.541,0.395
0.18,0.74,0.631,0.48,0.114,0.082,0.517,0.398
0.18,0.75,0.619,0.47,0.122,0.088,0.497,0.382
0.18,0.76,0.647,0.446,0.122,0.07,0.525,0.376
0.18,0.77,0.642,0.525,0.128,0.085,0.514,0.44
0.18,0.78,0.642,0.46,0.127,0.087,0.515,0.373
0.18,0.79,0.633,0.494,0.114,0.085,0.519,0.409
0.18,0.8,0.655,0.492,0.124,0.069,0.531,0.423
