"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.54,0.53,0.661,0.448,0.353,0.241,0.308,0.207
0.54,0.54,0.679,0.474,0.371,0.249,0.308,0.225
0.54,0.55,0.687,0.479,0.38,0.261,0.307,0.218
0.54,0.56,0.686,0.48,0.378,0.259,0.308,0.221
0.54,0.57,0.655,0.481,0.375,0.267,0.28,0.214
0.54,0.58,0.678,0.464,0.36,0.249,0.318,0.215
0.54,0.59,0.655,0.468,0.37,0.263,0.285,0.205
0.54,0.6,0.677,0.472,0.363,0.248,0.314,0.224
0.54,0.61,0.702,0.476,0.378,0.242,0.324,0.234
0.54,0.62,0.683,0.464,0.367,0.246,0.316,0.218
0.54,0.63,0.7,0.485,0.38,0.264,0.32,0.221
0.54,0.64,0.672,0.452,0.38,0.251,0.292,0.201
0.54,0.65,0.691,0.491,0.391,0.269,0.3,0.222
0.54,0.66,0.69,0.545,0.378,0.286,0.312,0.259
0.54,0.67,0.666,0.472,0.371,0.257,0.295,0.215
0.54,0.68,0.688,0.47,0.379,0.248,0.309,0.222
0.54,0.69,0.713,0.509,0.4,0.279,0.313,0.23
0.54,0.7,0.698,0.444,0.386,0.246,0.312,0.198
0.54,0.71,0.69,0.506,0.385,0.281,0.305,0.225
0.54,0.72,0.693,0.477,0.375,0.26,0.318,0.217
0.54,0.73,0.687,0.496,0.394,0.264,0.293,0.232
0.54,0.74,0.685,0.49,0.39,0.273,0.295,0.217
0.54,0.75,0.707,0.486,0.394,0.266,0.313,0.22
0.54,0.76,0.691,0.494,0.385,0.267,0.306,0.227
0.54,0.77,0.674,0.475,0.374,0.239,0.3,0.236
0.54,0.78,0.67,0.473,0.377,0.263,0.293,0.21
0.54,0.79,0.685,0.5,0.379,0.259,0.306,0.241
0.54,0.8,0.657,0.499,0.355,0.25,0.302,0.249
0.54,0.81,0.703,0.457,0.399,0.251,0.304,0.206
0.54,0.82,0.66,0.451,0.38,0.243,0.28,0.208
0.54,0.83,0.683,0.457,0.397,0.245,0.286,0.212
0.54,0.84,0.698,0.522,0.404,0.279,0.294,0.243
0.54,0.85,0.668,0.477,0.394,0.255,0.274,0.222
0.54,0.86,0.653,0.455,0.363,0.238,0.29,0.217
0.54,0.87,0.673,0.485,0.394,0.261,0.279,0.224
0.54,0.88,0.672,0.496,0.381,0.252,0.291,0.244
0.54,0.89,0.701,0.51,0.416,0.28,0.285,0.23
0.54,0.9,0.684,0.536,0.397,0.283,0.287,0.253
0.54,0.91,0.683,0.483,0.4,0.258,0.283,0.225
0.54,0.92,0.637,0.484,0.362,0.254,0.275,0.23
0.54,0.93,0.667,0.512,0.393,0.283,0.274,0.229
0.54,0.94,0.655,0.509,0.389,0.267,0.266,0.242
0.54,0.95,0.665,0.489,0.386,0.267,0.279,0.222
0.54,0.96,0.686,0.494,0.397,0.263,0.289,0.231
0.54,0.97,0.674,0.513,0.397,0.266,0.277,0.247
0.54,0.98,0.665,0.495,0.388,0.257,0.277,0.238
0.54,0.99,0.659,0.482,0.374,0.258,0.285,0.224
0.56,0.5,0.678,0.459,0.385,0.246,0.293,0.213
0.56,0.51,0.665,0.5,0.376,0.287,0.289,0.213
0.56,0.52,0.683,0.466,0.392,0.263,0.291,0.203
0.56,0.53,0.677,0.492,0.396,0.281,0.281,0.211
0.56,0.54,0.694,0.504,0.391,0.281,0.303,0.223
0.56,0.55,0.665,0.46,0.384,0.271,0.281,0.189
0.56,0.56,0.667,0.466,0.389,0.27,0.278,0.196
0.56,0.57,0.678,0.508,0.392,0.293,0.286,0.215
0.56,0.58,0.661,0.466,0.379,0.256,0.282,0.21
0.56,0.59,0.704,0.473,0.394,0.25,0.31,0.223
0.56,0.6,0.684,0.475,0.402,0.268,0.282,0.207
0.56,0.61,0.699,0.516,0.395,0.293,0.304,0.223
0.56,0.62,0.661,0.445,0.375,0.243,0.286,0.202
0.56,0.63,0.672,0.478,0.392,0.269,0.28,0.209
0.56,0.64,0.708,0.467,0.411,0.272,0.297,0.195
0.56,0.65,0.678,0.465,0.401,0.265,0.277,0.2
0.56,0.66,0.672,0.478,0.388,0.284,0.284,0.194
0.56,0.67,0.667,0.529,0.387,0.298,0.28,0.231
0.56,0.68,0.689,0.479,0.384,0.269,0.305,0.21
0.56,0.69,0.693,0.472,0.393,0.257,0.3,0.215
0.56,0.7,0.677,0.448,0.405,0.263,0.272,0.185
0.56,0.71,0.712,0.478,0.403,0.258,0.309,0.22
0.56,0.72,0.672,0.465,0.399,0.262,0.273,0.203
0.56,0.73,0.684,0.512,0.394,0.283,0.29,0.229
0.56,0.74,0.646,0.471,0.387,0.259,0.259,0.212
0.56,0.75,0.666,0.488,0.383,0.27,0.283,0.218
0.56,0.76,0.654,0.472,0.39,0.25,0.264,0.222
0.56,0.77,0.646,0.497,0.384,0.282,0.262,0.215
0.56,0.78,0.686,0.498,0.415,0.293,0.271,0.205
0.56,0.79,0.694,0.522,0.402,0.287,0.292,0.235
0.56,0.8,0.684,0.473,0.409,0.275,0.275,0.198
0.56,0.81,0.678,0.476,0.389,0.264,0.289,0.212
0.56,0.82,0.663,0.453,0.393,0.238,0.27,0.215
0.56,0.83,0.665,0.473,0.387,0.257,0.278,0.216
0.56,0.84,0.69,0.481,0.412,0.261,0.278,0.22
0.56,0.85,0.665,0.451,0.387,0.245,0.278,0.206
0.56,0.86,0.681,0.487,0.415,0.277,0.266,0.21
0.56,0.87,0.702,0.462,0.407,0.235,0.295,0.227
0.56,0.88,0.701,0.559,0.422,0.302,0.279,0.257
0.56,0.89,0.66,0.478,0.392,0.275,0.268,0.203
0.56,0.9,0.676,0.475,0.398,0.266,0.278,0.209
0.56,0.91,0.675,0.494,0.395,0.271,0.28,0.223
0.56,0.92,0.696,0.501,0.438,0.282,0.258,0.219
0.56,0.93,0.636,0.464,0.382,0.265,0.254,0.199
0.56,0.94,0.647,0.44,0.388,0.245,0.259,0.195
0.56,0.95,0.658,0.49,0.394,0.263,0.264,0.227
0.56,0.96,0.672,0.459,0.409,0.268,0.263,0.191
0.56,0.97,0.677,0.468,0.407,0.257,0.27,0.211
0.56,0.98,0.664,0.488,0.397,0.28,0.267,0.208
0.56,0.99,0.672,0.466,0.403,0.244,0.269,0.222
0.58,0.5,0.647,0.444,0.37,0.259,0.277,0.185
0.58,0.51,0.688,0.507,0.385,0.286,0.303,0.221
0.58,0.52,0.67,0.482,0.395,0.284,0.275,0.198
0.58,0.53,0.662,0.482,0.378,0.277,0.284,0.205
0.58,0.54,0.67,0.501,0.377,0.278,0.293,0.223
0.58,0.55,0.715,0.455,0.413,0.262,0.302,0.193
0.58,0.56,0.71,0.503,0.41,0.292,0.3,0.211
0.58,0.57,0.675,0.533,0.381,0.318,0.294,0.215
0.58,0.58,0.671,0.461,0.394,0.264,0.277,0.197
0.58,0.59,0.682,0.457,0.383,0.268,0.299,0.189
0.58,0.6,0.677,0.497,0.383,0.287,0.294,0.21
0.58,0.61,0.689,0.49,0.407,0.28,0.282,0.21
0.58,0.62,0.688,0.499,0.404,0.269,0.284,0.23
0.58,0.63,0.659,0.481,0.368,0.27,0.291,0.211
0.58,0.64,0.678,0.45,0.399,0.273,0.279,0.177
0.58,0.65,0.692,0.497,0.418,0.284,0.274,0.213
0.58,0.66,0.704,0.509,0.424,0.292,0.28,0.217
0.58,0.67,0.678,0.483,0.388,0.27,0.29,0.213
0.58,0.68,0.681,0.493,0.408,0.288,0.273,0.205
0.58,0.69,0.667,0.435,0.385,0.245,0.282,0.19
0.58,0.7,0.686,0.469,0.39,0.254,0.296,0.215
0.58,0.71,0.678,0.462,0.404,0.266,0.274,0.196
0.58,0.72,0.743,0.493,0.439,0.273,0.304,0.22
0.58,0.73,0.7,0.504,0.42,0.298,0.28,0.206
0.58,0.74,0.651,0.502,0.379,0.291,0.272,0.211
0.58,0.75,0.659,0.449,0.409,0.249,0.25,0.2
0.58,0.76,0.698,0.488,0.41,0.282,0.288,0.206
0.58,0.77,0.686,0.499,0.401,0.276,0.285,0.223
0.58,0.78,0.683,0.497,0.404,0.277,0.279,0.22
0.58,0.79,0.694,0.497,0.406,0.269,0.288,0.228
0.58,0.8,0.687,0.471,0.407,0.274,0.28,0.197
0.58,0.81,0.695,0.515,0.42,0.29,0.275,0.225
0.58,0.82,0.697,0.467,0.416,0.26,0.281,0.207
0.58,0.83,0.702,0.488,0.415,0.287,0.287,0.201
0.58,0.84,0.705,0.478,0.425,0.256,0.28,0.222
0.58,0.85,0.686,0.514,0.41,0.289,0.276,0.225
0.58,0.86,0.699,0.472,0.418,0.266,0.281,0.206
0.58,0.87,0.682,0.49,0.401,0.284,0.281,0.206
0.58,0.88,0.652,0.484,0.399,0.286,0.253,0.198
0.58,0.89,0.681,0.453,0.406,0.242,0.275,0.211
0.58,0.9,0.647,0.48,0.382,0.269,0.265,0.211
0.58,0.91,0.676,0.483,0.4,0.274,0.276,0.209
0.58,0.92,0.692,0.446,0.405,0.256,0.287,0.19
0.58,0.93,0.691,0.504,0.416,0.282,0.275,0.222
0.58,0.94,0.662,0.504,0.4,0.281,0.262,0.223
0.58,0.95,0.674,0.475,0.408,0.27,0.266,0.205
0.58,0.96,0.706,0.517,0.426,0.288,0.28,0.229
0.58,0.97,0.646,0.503,0.406,0.285,0.24,0.218
0.58,0.98,0.667,0.504,0.401,0.288,0.266,0.216
0.58,0.99,0.65,0.48,0.392,0.265,0.258,0.215
0.6,0.5,0.67,0.478,0.412,0.292,0.258,0.186
0.6,0.51,0.682,0.49,0.417,0.302,0.265,0.188
0.6,0.52,0.672,0.486,0.404,0.295,0.268,0.191
0.6,0.53,0.663,0.524,0.402,0.313,0.261,0.211
0.6,0.54,0.667,0.474,0.391,0.3,0.276,0.174
0.6,0.55,0.674,0.464,0.408,0.285,0.266,0.179
0.6,0.56,0.683,0.493,0.404,0.299,0.279,0.194
0.6,0.57,0.685,0.484,0.405,0.288,0.28,0.196
0.6,0.58,0.697,0.438,0.428,0.263,0.269,0.175
0.6,0.59,0.679,0.47,0.408,0.281,0.271,0.189
0.6,0.6,0.654,0.465,0.404,0.268,0.25,0.197
0.6,0.61,0.667,0.464,0.398,0.277,0.269,0.187
0.6,0.62,0.694,0.452,0.417,0.271,0.277,0.181
0.6,0.63,0.668,0.487,0.407,0.286,0.261,0.201
0.6,0.64,0.681,0.475,0.405,0.29,0.276,0.185
0.6,0.65,0.668,0.521,0.41,0.32,0.258,0.201
0.6,0.66,0.694,0.529,0.422,0.32,0.272,0.209
0.6,0.67,0.646,0.456,0.412,0.282,0.234,0.174
0.6,0.68,0.717,0.516,0.45,0.316,0.267,0.2
0.6,0.69,0.699,0.438,0.43,0.25,0.269,0.188
0.6,0.7,0.688,0.475,0.414,0.282,0.274,0.193
0.6,0.71,0.674,0.489,0.419,0.3,0.255,0.189
0.6,0.72,0.676,0.493,0.411,0.306,0.265,0.187
0.6,0.73,0.668,0.509,0.419,0.312,0.249,0.197
0.6,0.74,0.68,0.432,0.418,0.248,0.262,0.184
0.6,0.75,0.692,0.513,0.424,0.309,0.268,0.204
0.6,0.76,0.677,0.46,0.424,0.259,0.253,0.201
0.6,0.77,0.692,0.499,0.432,0.296,0.26,0.203
0.6,0.78,0.699,0.484,0.42,0.3,0.279,0.184
0.6,0.79,0.688,0.506,0.432,0.305,0.256,0.201
0.6,0.8,0.683,0.486,0.41,0.298,0.273,0.188
0.6,0.81,0.683,0.496,0.422,0.304,0.261,0.192
0.6,0.82,0.676,0.481,0.416,0.291,0.26,0.19
0.6,0.83,0.688,0.449,0.428,0.264,0.26,0.185
0.6,0.84,0.697,0.5,0.428,0.292,0.269,0.208
0.6,0.85,0.644,0.457,0.409,0.271,0.235,0.186
0.6,0.86,0.693,0.492,0.429,0.291,0.264,0.201
0.6,0.87,0.664,0.478,0.424,0.282,0.24,0.196
0.6,0.88,0.623,0.468,0.391,0.27,0.232,0.198
0.6,0.89,0.697,0.447,0.423,0.245,0.274,0.202
0.6,0.9,0.673,0.493,0.412,0.284,0.261,0.209
0.6,0.91,0.686,0.481,0.436,0.286,0.25,0.195
0.6,0.92,0.675,0.472,0.417,0.285,0.258,0.187
0.6,0.93,0.677,0.444,0.422,0.25,0.255,0.194
0.6,0.94,0.673,0.475,0.43,0.297,0.243,0.178
0.6,0.95,0.646,0.484,0.414,0.28,0.232,0.204
0.6,0.96,0.655,0.478,0.405,0.28,0.25,0.198
0.6,0.97,0.663,0.482,0.426,0.299,0.237,0.183
0.6,0.98,0.683,0.504,0.43,0.307,0.253,0.197
0.6,0.99,0.69,0.477,0.431,0.292,0.259,0.185
0.62,0.5,0.698,0.448,0.432,0.279,0.266,0.169
0.62,0.51,0.691,0.479,0.428,0.284,0.263,0.195
0.62,0.52,0.676,0.484,0.421,0.299,0.255,0.185
0.62,0.53,0.689,0.491,0.426,0.304,0.263,0.187
0.62,0.54,0.673,0.477,0.411,0.299,0.262,0.178
0.62,0.55,0.698,0.481,0.437,0.298,0.261,0.183
0.62,0.56,0.697,0.484,0.431,0.292,0.266,0.192
0.62,0.57,0.695,0.487,0.438,0.295,0.257,0.192
0.62,0.58,0.684,0.447,0.431,0.27,0.253,0.177
0.62,0.59,0.688,0.468,0.427,0.283,0.261,0.185
0.62,0.6,0.683,0.506,0.429,0.31,0.254,0.196
0.62,0.61,0.702,0.493,0.438,0.306,0.264,0.187
0.62,0.62,0.69,0.437,0.436,0.266,0.254,0.171
0.62,0.63,0.721,0.502,0.44,0.303,0.281,0.199
0.62,0.64,0.662,0.463,0.412,0.288,0.25,0.175
0.62,0.65,0.711,0.483,0.448,0.295,0.263,0.188
0.62,0.66,0.697,0.481,0.43,0.305,0.267,0.176
0.62,0.67,0.667,0.476,0.419,0.286,0.248,0.19
0.62,0.68,0.675,0.485,0.426,0.292,0.249,0.193
0.62,0.69,0.711,0.489,0.444,0.307,0.267,0.182
0.62,0.7,0.677,0.485,0.444,0.301,0.233,0.184
0.62,0.71,0.693,0.512,0.434,0.298,0.259,0.214
0.62,0.72,0.691,0.505,0.434,0.308,0.257,0.197
0.62,0.73,0.689,0.476,0.441,0.295,0.248,0.181
0.62,0.74,0.692,0.486,0.44,0.292,0.252,0.194
0.62,0.75,0.691,0.487,0.441,0.31,0.25,0.177
0.62,0.76,0.72,0.504,0.45,0.307,0.27,0.197
0.62,0.77,0.677,0.469,0.433,0.278,0.244,0.191
0.62,0.78,0.711,0.482,0.467,0.29,0.244,0.192
0.62,0.79,0.633,0.433,0.41,0.258,0.223,0.175
0.62,0.8,0.675,0.463,0.423,0.282,0.252,0.181
0.62,0.81,0.673,0.478,0.432,0.296,0.241,0.182
0.62,0.82,0.675,0.499,0.426,0.294,0.249,0.205
0.62,0.83,0.685,0.498,0.449,0.303,0.236,0.195
0.62,0.84,0.671,0.46,0.424,0.277,0.247,0.183
0.62,0.85,0.656,0.5,0.425,0.307,0.231,0.193
0.62,0.86,0.683,0.488,0.436,0.315,0.247,0.173
0.62,0.87,0.656,0.499,0.428,0.315,0.228,0.184
0.62,0.88,0.685,0.462,0.455,0.281,0.23,0.181
0.62,0.89,0.717,0.509,0.462,0.299,0.255,0.21
0.62,0.9,0.712,0.468,0.456,0.282,0.256,0.186
0.62,0.91,0.662,0.443,0.435,0.268,0.227,0.175
0.62,0.92,0.688,0.479,0.451,0.308,0.237,0.171
0.62,0.93,0.689,0.495,0.437,0.298,0.252,0.197
0.62,0.94,0.664,0.485,0.437,0.301,0.227,0.184
0.62,0.95,0.688,0.47,0.44,0.297,0.248,0.173
0.62,0.96,0.673,0.471,0.437,0.283,0.236,0.188
0.62,0.97,0.679,0.511,0.452,0.315,0.227,0.196
0.62,0.98,0.699,0.503,0.461,0.31,0.238,0.193
0.62,0.99,0.674,0.482,0.441,0.293,0.233,0.189
0.64,0.5,0.67,0.464,0.425,0.298,0.245,0.166
0.64,0.51,0.682,0.47,0.445,0.311,0.237,0.159
0.64,0.52,0.69,0.494,0.44,0.309,0.25,0.185
0.64,0.53,0.662,0.517,0.425,0.333,0.237,0.184
0.64,0.54,0.697,0.5,0.45,0.327,0.247,0.173
0.64,0.55,0.682,0.514,0.437,0.328,0.245,0.186
0.64,0.56,0.649,0.451,0.423,0.296,0.226,0.155
0.64,0.57,0.655,0.482,0.421,0.31,0.234,0.172
0.64,0.58,0.656,0.476,0.424,0.302,0.232,0.174
0.64,0.59,0.671,0.449,0.43,0.286,0.241,0.163
0.64,0.6,0.667,0.465,0.445,0.306,0.222,0.159
0.64,0.61,0.697,0.462,0.448,0.305,0.249,0.157
0.64,0.62,0.675,0.491,0.438,0.317,0.237,0.174
0.64,0.63,0.696,0.483,0.446,0.308,0.25,0.175
0.64,0.64,0.688,0.464,0.437,0.281,0.251,0.183
0.64,0.65,0.688,0.493,0.445,0.314,0.243,0.179
0.64,0.66,0.671,0.468,0.437,0.296,0.234,0.172
0.64,0.67,0.688,0.475,0.456,0.304,0.232,0.171
0.64,0.68,0.691,0.479,0.434,0.288,0.257,0.191
0.64,0.69,0.712,0.475,0.464,0.294,0.248,0.181
0.64,0.7,0.68,0.477,0.449,0.293,0.231,0.184
0.64,0.71,0.686,0.47,0.438,0.291,0.248,0.179
0.64,0.72,0.702,0.46,0.458,0.298,0.244,0.162
0.64,0.73,0.697,0.459,0.459,0.287,0.238,0.172
0.64,0.74,0.694,0.478,0.45,0.297,0.244,0.181
0.64,0.75,0.718,0.461,0.469,0.295,0.249,0.166
0.64,0.76,0.679,0.428,0.432,0.273,0.247,0.155
0.64,0.77,0.679,0.45,0.442,0.289,0.237,0.161
0.64,0.78,0.696,0.486,0.466,0.295,0.23,0.191
0.64,0.79,0.672,0.477,0.458,0.299,0.214,0.178
0.64,0.8,0.688,0.471,0.458,0.302,0.23,0.169
0.64,0.81,0.69,0.513,0.46,0.324,0.23,0.189
0.64,0.82,0.69,0.501,0.451,0.307,0.239,0.194
0.64,0.83,0.649,0.472,0.421,0.311,0.228,0.161
0.64,0.84,0.659,0.476,0.454,0.288,0.205,0.188
0.64,0.85,0.68,0.479,0.463,0.305,0.217,0.174
0.64,0.86,0.707,0.486,0.474,0.311,0.233,0.175
0.64,0.87,0.666,0.45,0.45,0.3,0.216,0.15
0.64,0.88,0.667,0.464,0.44,0.293,0.227,0.171
0.64,0.89,0.675,0.474,0.45,0.305,0.225,0.169
0.64,0.9,0.696,0.499,0.467,0.307,0.229,0.192
0.64,0.91,0.709,0.498,0.472,0.327,0.237,0.171
0.64,0.92,0.695,0.489,0.469,0.32,0.226,0.169
0.64,0.93,0.669,0.454,0.444,0.289,0.225,0.165
0.64,0.94,0.667,0.487,0.456,0.309,0.211,0.178
0.64,0.95,0.692,0.505,0.472,0.316,0.22,0.189
0.64,0.96,0.672,0.494,0.462,0.308,0.21,0.186
0.64,0.97,0.66,0.489,0.459,0.305,0.201,0.184
0.64,0.98,0.648,0.477,0.436,0.29,0.212,0.187
0.64,0.99,0.67,0.492,0.438,0.305,0.232,0.187
0.66,0.5,0.654,0.501,0.435,0.327,0.219,0.174
0.66,0.51,0.682,0.497,0.434,0.329,0.248,0.168
0.66,0.52,0.655,0.493,0.431,0.326,0.224,0.167
0.66,0.53,0.7,0.48,0.461,0.301,0.239,0.179
0.66,0.54,0.677,0.487,0.45,0.308,0.227,0.179
0.66,0.55,0.678,0.515,0.446,0.327,0.232,0.188
0.66,0.56,0.674,0.462,0.443,0.307,0.231,0.155
0.66,0.57,0.666,0.484,0.439,0.335,0.227,0.149
0.66,0.58,0.68,0.482,0.447,0.308,0.233,0.174
0.66,0.59,0.659,0.486,0.446,0.306,0.213,0.18
0.66,0.6,0.677,0.484,0.451,0.314,0.226,0.17
0.66,0.61,0.662,0.472,0.437,0.316,0.225,0.156
0.66,0.62,0.682,0.498,0.45,0.322,0.232,0.176
0.66,0.63,0.672,0.458,0.453,0.305,0.219,0.153
0.66,0.64,0.654,0.508,0.435,0.338,0.219,0.17
0.66,0.65,0.683,0.519,0.456,0.333,0.227,0.186
0.66,0.66,0.695,0.44,0.454,0.283,0.241,0.157
0.66,0.67,0.655,0.478,0.429,0.31,0.226,0.168
0.66,0.68,0.687,0.471,0.459,0.308,0.228,0.163
0.66,0.69,0.682,0.452,0.466,0.299,0.216,0.153
0.66,0.7,0.695,0.461,0.472,0.307,0.223,0.154
0.66,0.71,0.664,0.479,0.45,0.319,0.214,0.16
0.66,0.72,0.698,0.486,0.479,0.318,0.219,0.168
0.66,0.73,0.679,0.484,0.461,0.315,0.218,0.169
0.66,0.74,0.69,0.48,0.46,0.311,0.23,0.169
0.66,0.75,0.696,0.499,0.469,0.334,0.227,0.165
0.66,0.76,0.663,0.475,0.441,0.313,0.222,0.162
0.66,0.77,0.711,0.513,0.474,0.336,0.237,0.177
0.66,0.78,0.723,0.499,0.474,0.329,0.249,0.17
0.66,0.79,0.714,0.494,0.496,0.325,0.218,0.169
0.66,0.8,0.701,0.494,0.479,0.332,0.222,0.162
0.66,0.81,0.7,0.494,0.472,0.321,0.228,0.173
0.66,0.82,0.689,0.47,0.464,0.305,0.225,0.165
0.66,0.83,0.68,0.483,0.473,0.326,0.207,0.157
0.66,0.84,0.677,0.454,0.451,0.294,0.226,0.16
0.66,0.85,0.707,0.456,0.488,0.301,0.219,0.155
0.66,0.86,0.652,0.42,0.453,0.27,0.199,0.15
0.66,0.87,0.669,0.445,0.459,0.294,0.21,0.151
0.66,0.88,0.691,0.483,0.469,0.301,0.222,0.182
0.66,0.89,0.698,0.478,0.472,0.32,0.226,0.158
0.66,0.9,0.695,0.448,0.469,0.295,0.226,0.153
0.66,0.91,0.704,0.493,0.485,0.319,0.219,0.174
0.66,0.92,0.664,0.494,0.477,0.335,0.187,0.159
0.66,0.93,0.675,0.489,0.461,0.323,0.214,0.166
0.66,0.94,0.673,0.517,0.458,0.34,0.215,0.177
0.66,0.95,0.701,0.496,0.493,0.321,0.208,0.175
0.66,0.96,0.68,0.468,0.475,0.285,0.205,0.183
0.66,0.97,0.684,0.45,0.481,0.299,0.203,0.151
0.66,0.98,0.707,0.449,0.491,0.294,0.216,0.155
0.66,0.99,0.688,0.493,0.484,0.308,0.204,0.185
0.68,0.5,0.675,0.46,0.461,0.299,0.214,0.161
0.68,0.51,0.717,0.519,0.479,0.35,0.238,0.169
0.68,0.52,0.691,0.487,0.476,0.335,0.215,0.152
0.68,0.53,0.671,0.417,0.458,0.304,0.213,0.113
0.68,0.54,0.691,0.471,0.476,0.327,0.215,0.144
0.68,0.55,0.704,0.463,0.475,0.308,0.229,0.155
0.68,0.56,0.702,0.483,0.482,0.326,0.22,0.157
0.68,0.57,0.686,0.486,0.469,0.315,0.217,0.171
0.68,0.58,0.682,0.464,0.471,0.314,0.211,0.15
0.68,0.59,0.676,0.48,0.474,0.334,0.202,0.146
0.68,0.6,0.693,0.478,0.469,0.33,0.224,0.148
0.68,0.61,0.672,0.483,0.441,0.328,0.231,0.155
0.68,0.62,0.685,0.49,0.481,0.342,0.204,0.148
0.68,0.63,0.7,0.468,0.479,0.312,0.221,0.156
0.68,0.64,0.693,0.518,0.491,0.333,0.202,0.185
0.68,0.65,0.684,0.44,0.479,0.297,0.205,0.143
0.68,0.66,0.698,0.466,0.488,0.327,0.21,0.139
0.68,0.67,0.676,0.447,0.465,0.303,0.211,0.144
0.68,0.68,0.665,0.468,0.457,0.317,0.208,0.151
0.68,0.69,0.684,0.488,0.475,0.333,0.209,0.155
0.68,0.7,0.667,0.468,0.469,0.306,0.198,0.162
0.68,0.71,0.685,0.453,0.483,0.31,0.202,0.143
0.68,0.72,0.676,0.459,0.479,0.312,0.197,0.147
0.68,0.73,0.664,0.474,0.467,0.313,0.197,0.161
0.68,0.74,0.702,0.493,0.494,0.325,0.208,0.168
0.68,0.75,0.717,0.478,0.497,0.316,0.22,0.162
0.68,0.76,0.683,0.478,0.483,0.324,0.2,0.154
0.68,0.77,0.679,0.462,0.477,0.312,0.202,0.15
0.68,0.78,0.698,0.498,0.485,0.338,0.213,0.16
0.68,0.79,0.704,0.486,0.481,0.326,0.223,0.16
0.68,0.8,0.725,0.435,0.51,0.304,0.215,0.131
0.68,0.81,0.692,0.482,0.488,0.326,0.204,0.156
0.68,0.82,0.676,0.482,0.472,0.325,0.204,0.157
0.68,0.83,0.682,0.508,0.476,0.342,0.206,0.166
0.68,0.84,0.693,0.523,0.485,0.356,0.208,0.167
0.68,0.85,0.696,0.48,0.495,0.32,0.201,0.16
0.68,0.86,0.685,0.456,0.496,0.301,0.189,0.155
0.68,0.87,0.661,0.483,0.476,0.335,0.185,0.148
0.68,0.88,0.654,0.472,0.457,0.309,0.197,0.163
0.68,0.89,0.669,0.472,0.477,0.313,0.192,0.159
0.68,0.9,0.693,0.491,0.493,0.333,0.2,0.158
0.68,0.91,0.694,0.479,0.496,0.317,0.198,0.162
0.68,0.92,0.652,0.49,0.465,0.335,0.187,0.155
0.68,0.93,0.724,0.494,0.516,0.349,0.208,0.145
0.68,0.94,0.689,0.45,0.479,0.31,0.21,0.14
0.68,0.95,0.693,0.459,0.504,0.31,0.189,0.149
0.68,0.96,0.672,0.473,0.474,0.32,0.198,0.153
0.68,0.97,0.68,0.462,0.477,0.316,0.203,0.146
0.68,0.98,0.668,0.486,0.47,0.325,0.198,0.161
0.68,0.99,0.676,0.475,0.488,0.328,0.188,0.147
0.7,0.5,0.665,0.456,0.457,0.311,0.208,0.145
0.7,0.51,0.664,0.499,0.445,0.313,0.219,0.186
0.7,0.52,0.676,0.472,0.469,0.296,0.207,0.176
0.7,0.53,0.691,0.491,0.48,0.342,0.211,0.149
0.7,0.54,0.67,0.481,0.45,0.329,0.22,0.152
0.7,0.55,0.685,0.477,0.465,0.322,0.22,0.155
0.7,0.56,0.676,0.492,0.459,0.329,0.217,0.163
0.7,0.57,0.658,0.465,0.446,0.307,0.212,0.158
0.7,0.58,0.686,0.478,0.476,0.329,0.21,0.149
0.7,0.59,0.673,0.483,0.461,0.326,0.212,0.157
0.7,0.6,0.675,0.448,0.459,0.297,0.216,0.151
0.7,0.61,0.698,0.461,0.476,0.315,0.222,0.146
0.7,0.62,0.706,0.516,0.494,0.357,0.212,0.159
0.7,0.63,0.651,0.48,0.435,0.32,0.216,0.16
0.7,0.64,0.668,0.496,0.464,0.335,0.204,0.161
0.7,0.65,0.704,0.45,0.497,0.31,0.207,0.14
0.7,0.66,0.639,0.451,0.427,0.309,0.212,0.142
0.7,0.67,0.677,0.496,0.458,0.317,0.219,0.179
0.7,0.68,0.676,0.485,0.474,0.343,0.202,0.142
0.7,0.69,0.646,0.493,0.451,0.329,0.195,0.164
0.7,0.7,0.696,0.489,0.484,0.322,0.212,0.167
0.7,0.71,0.696,0.504,0.482,0.339,0.214,0.165
0.7,0.72,0.687,0.472,0.483,0.311,0.204,0.161
0.7,0.73,0.678,0.455,0.47,0.304,0.208,0.151
0.7,0.74,0.703,0.479,0.493,0.32,0.21,0.159
0.7,0.75,0.685,0.484,0.484,0.318,0.201,0.166
0.7,0.76,0.698,0.488,0.484,0.326,0.214,0.162
0.7,0.77,0.687,0.485,0.482,0.322,0.205,0.163
0.7,0.78,0.682,0.502,0.464,0.337,0.218,0.165
0.7,0.79,0.687,0.469,0.479,0.306,0.208,0.163
0.7,0.8,0.694,0.489,0.491,0.323,0.203,0.166
0.7,0.81,0.709,0.471,0.494,0.305,0.215,0.166
0.7,0.82,0.709,0.502,0.49,0.334,0.219,0.168
0.7,0.83,0.674,0.466,0.471,0.325,0.203,0.141
0.7,0.84,0.687,0.464,0.482,0.308,0.205,0.156
0.7,0.85,0.656,0.484,0.455,0.319,0.201,0.165
0.7,0.86,0.69,0.478,0.497,0.314,0.193,0.164
0.7,0.87,0.694,0.501,0.483,0.321,0.211,0.18
0.7,0.88,0.707,0.464,0.499,0.304,0.208,0.16
